,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
83,dream theater,the astonishing,32,1sqfrkyrhui0pl1himzncq,our new world,spotify:track:1sqfrkyrhui0pl1himzncq,0.000605,0.508,0.911,0.000113,0.121,-5.318,0.0305,94.016,0.599,32
84,dream theater,the astonishing,33,2agwhce9kgrva8ftsa15td,power down,spotify:track:2agwhce9kgrva8ftsa15td,0.19,0.394,0.681,0.89,0.0998,-16.36,0.209,68.017,0.134,24
85,dream theater,the astonishing,34,26lj4gam4a06fthy9zmr8m,astonishing,spotify:track:26lj4gam4a06fthy9zmr8m,0.0524,0.319,0.46,1.11e-06,0.12,-7.1,0.0284,115.076,0.175,27
86,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",1,1a2gudcvvans13pwiaodus,"the enemy inside - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:1a2gudcvvans13pwiaodus,0.00014,0.358,0.97,0.0256,0.963,-5.794,0.201,144.11,0.208,23
87,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",2,0ttz2epxn0poiedbeqloxk,"the shattered fortress - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:0ttz2epxn0poiedbeqloxk,4.12e-05,0.215,0.966,0.011,0.77,-5.534,0.245,137.818,0.119,22
88,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",3,46z9cvlmuvgccptx4mirtg,"on the backs of angels - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:46z9cvlmuvgccptx4mirtg,0.000462,0.429,0.956,0.0449,0.919,-6.169,0.159,137.999,0.207,21
89,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",4,32tyzhs04un2tfdy7hkkwl,"the looking glass - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:32tyzhs04un2tfdy7hkkwl,0.000135,0.402,0.96,0.000229,0.823,-5.475,0.133,138.003,0.395,21
90,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",5,6fddvsxy9xznmbwdhhbxt1,"trial of tears - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:6fddvsxy9xznmbwdhhbxt1,0.00636,0.23,0.907,0.00533,0.83,-5.517,0.0808,118.406,0.193,21
91,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",6,1k6u8gsghj1i1yldw5xw9k,"enigma machine - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:1k6u8gsghj1i1yldw5xw9k,4.45e-05,0.219,0.963,0.868,0.935,-6.17,0.179,89.957,0.146,21
92,dream theater,"breaking the fourth wall (live at the boston opera house, boston, ma, 3/25/2014)",7,6aam84pmkaqtjsynol4k3a,"along for the ride - live at the boston opera house, boston, ma, 3/25/2014",spotify:track:6aam84pmkaqtjsynol4k3a,0.00995,0.377,0.912,3.48e-05,0.899,-6.301,0.086,134.105,0.238,19
